Jenkins Build Number	Install ID	Log Path	Status	Failing Step	Name
	20200117121327	/webhook_tool_installation_20200117121327	Skipped	Staging Installation	ncbi_blast_plus
	20200117121327	/webhook_tool_installation_20200117121327	Skipped	Staging Installation	velvetoptimiser
	20200117121327	/webhook_tool_installation_20200117121327	Skipped	Staging Installation	velvetoptimiser
	20200117121357	/webhook_tool_installation_20200117121357	Skipped	Staging Installation	ncbi_blast_plus
	20200117121357	/webhook_tool_installation_20200117121357	Skipped	Staging Installation	velvetoptimiser
	20200117121357	/webhook_tool_installation_20200117121357	Skipped	Staging Installation	velvetoptimiser
	20200117121739	/webhook_tool_installation_20200117121739	Skipped	Staging Installation	ncbi_blast_plus
	20200117121739	/webhook_tool_installation_20200117121739	Skipped	Staging Installation	velvetoptimiser
	20200117121739	/webhook_tool_installation_20200117121739	Skipped	Staging Installation	velvetoptimiser
	20200117122016	/webhook_tool_installation_20200117122016	Skipped	Staging Installation	ncbi_blast_plus
	20200117122016	/webhook_tool_installation_20200117122016	Skipped	Staging Installation	velvetoptimiser
	20200117122016	/webhook_tool_installation_20200117122016	Skipped	Staging Installation	velvetoptimiser
	20200117122145	/webhook_tool_installation_20200117122145	Skipped	Staging Installation	ncbi_blast_plus
	20200117122145	/webhook_tool_installation_20200117122145	Skipped	Staging Installation	velvetoptimiser
	20200117122145	/webhook_tool_installation_20200117122145	Skipped	Staging Installation	velvetoptimiser
	20200117122308	/webhook_tool_installation_20200117122308	Errored	Staging Installation	ncbi_blast_plus
	20200117122308	/webhook_tool_installation_20200117122308	Skipped	Production Installation	velvetoptimiser
	20200117122308	/webhook_tool_installation_20200117122308	Skipped	Production Installation	velvetoptimiser
	20200117125147	/webhook_tool_installation_20200117125147	Errored	Staging Installation	ncbi_blast_plus
	20200117125147	/webhook_tool_installation_20200117125147	Tests failed on PRODUCTION	Production Testing	velvetoptimiser
	20200117125147	/webhook_tool_installation_20200117125147	Tests failed on PRODUCTION	Production Testing	velvetoptimiser
	20200117134753	/webhook_tool_installation_20200117134753	Errored	Staging Installation	ncbi_blast_plus
	20200117134753	/webhook_tool_installation_20200117134753	Tests failed	Staging Testing	velvetoptimiser
	20200117134753	/webhook_tool_installation_20200117134753	Tests failed	Staging Testing	velvetoptimiser
	20200117140100	/webhook_tool_installation_20200117140100	Skipped	Staging Installation	ncbi_blast_plus
	20200117140100	/webhook_tool_installation_20200117140100	Skipped	Staging Installation	velvetoptimiser
	20200117140100	/webhook_tool_installation_20200117140100	Skipped	Staging Installation	velvetoptimiser
192	20200117040431	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200117040431	Tests failed	Production Testing	flye
192	20200117040431	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200117040431	Success	Production Testing	flye
194	20200117044422	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200117044422	Success	Production Installation	flye
194	20200117044422	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200117044422	Tests failed	Production Testing	flye
196	20200117051737	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200117051737	Errored	Staging Installation	pilon
196	20200117051737	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200117051737	Errored	Production Installation	pilon
	20200117171355	logs/webhook_tool_installation_20200117171355	Script error	Staging Installation	ncbi_blast_plus
	20200117171355	logs/webhook_tool_installation_20200117171355	Script error	Staging Installation	velvetoptimiser
	20200117171355	logs/webhook_tool_installation_20200117171355	Script error	Staging Installation	velvetoptimiser
	20200117171416	logs/webhook_tool_installation_20200117171416	Errored	Staging Installation	ncbi_blast_plus
	20200117171416	logs/webhook_tool_installation_20200117171416	Script error	Staging Installation	velvetoptimiser
	20200117171416	logs/webhook_tool_installation_20200117171416	Script error	Staging Installation	velvetoptimiser
	20200117171628	logs/webhook_tool_installation_20200117171628	Errored	Staging Installation	ncbi_blast_plus
	20200117171628	logs/webhook_tool_installation_20200117171628	Skipped	Staging Installation	velvetoptimiser
	20200117171628	logs/webhook_tool_installation_20200117171628	Tests failed	Staging Testing	velvetoptimiser
	20200117172141	logs/webhook_tool_installation_20200117172141	Errored	Staging Installation	ncbi_blast_plus
	20200117172141	logs/webhook_tool_installation_20200117172141	Skipped	Staging Installation	velvetoptimiser
	20200117172141	logs/webhook_tool_installation_20200117172141	Tests failed	Staging Testing	velvetoptimiser
	20200117172404	logs/webhook_tool_installation_20200117172404	Errored	Staging Installation	ncbi_blast_plus
	20200117172404	logs/webhook_tool_installation_20200117172404	Skipped	Staging Installation	velvetoptimiser
	20200117172404	logs/webhook_tool_installation_20200117172404	Success	Production Installation	velvetoptimiser
	20200117172404	logs/webhook_tool_installation_20200117172404	Tests failed	Production Testing	velvetoptimiser
208	20200119232216	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200119232216	Tests failed	Staging Testing	dwt_var_perfeature
209	20200119232736	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200119232736	Tests failed	Production Testing	generate_pc_lda_matrix
210	20200120015336	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200120015336	Errored	Staging Installation	row_means
214	20200120021641	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200120021641	Tests failed	Staging Testing	correlation
215	20200120021755	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200120021755	Tests failed	Staging Testing	compute_motif_frequencies_for_all_motifs
216	20200120023251	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200120023251	Success	Production Testing	compute_motifs_frequency
217	20200120023936	/var/lib/jenkins/galaxy_tool_automation/webhook_tool_installation_20200120023936	Success	Production Testing	categorize_elements_satisfying_criteria
